3,Adventure,"Outdoor activities like hiking, rock climbing, etc.",51
4,Cultural,Trips focused on exploring cultural heritage and history.,52
5,Religious,Pilgrimages and visits to religious sites.,53
6,Luxury,High-end travel with premium accommodations and services.,54
7,EcoTourism,Trips focused on environmental conservation and sustainable tourism.,55
8,Beach,Relaxing beach vacations and coastal explorations.,51
9,Mountain,"Trekking, mountaineering, and exploring mountainous regions.",52
10,Family,Family-oriented trips with activities for all ages.,53
11,Romantic,Trips designed for couples with intimate settings.,54
12,Wildlife Safari,Trips focused on exploring wildlife and nature reserves.,55
